IDFunction,IDMacroKind,Order,IDJump,MacroSelectionCriteria,IDMacroKindJump
1,17,1,1,,0
2,30,1,1,,0
3,1,1,1,,0
4,2,1,1,,0
5,3,1,1,,0
6,135,1,1,,0
7,136,1,1,,0
8,9,1,1,,0
9,10,1,1,,0
11,59,1,1,,0
12,148,1,1,,0
14,21,1,1,,0
15,23,1,1,,0
16,22,1,1,,0
17,24,1,1,,0
18,20,1,1,,0
19,27,1,1,,0
20,28,1,1,,0
21,29,1,1,,0
22,31,1,1,,0
27,34,1,1,,0
28,36,1,1,,0
29,37,1,1,,0
30,157,1,1,,0
31,53,1,1,,0
32,58,1,1,,0
33,104,1,1,,0
34,50,1,1,,0
37,72,1,1,,0
56,105,1,1,,0
57,105,1,1,,0
58,105,1,1,,0
