IDNode,Position,State,Level,Kind,Displayed,CurrIdx,IDData,Name,Probe,NumPattern,TL,TH
1,0,34,0,1,1,0,1,,,-1,1002,1002
2,1,34,0,5,1,0,2,,,-1,1002,1002
